energy	ratio_2_1	ratio_3_1	ratio_4_1	ratio_5_1	ratio_6_1	ratio_7_1
N	N	N	N	N	N	N
0.03162	0.264	0.04574	0.03935	0.01433	0.0228	0.00662
0.0438	0.2238	0.05481	0.03874	0.01421	0.02251	0.006549
0.04983	0.2046	0.05806	0.03855	0.01419	0.02244	0.006537
0.05643	0.185	0.06154	0.03829	0.01417	0.02232	0.006499
0.06361	0.1694	0.06381	0.03842	0.01406	0.02232	0.006517
0.0695	0.1588	0.06546	0.03847	0.01403	0.02234	0.006549
0.07889	0.1441	0.06799	0.03841	0.01403	0.02233	0.00657
0.08299	0.1389	0.06888	0.03837	0.01405	0.02233	0.006581
0.08541	0.1358	0.06943	0.0384	0.01402	0.02233	0.006581
0.09376	0.128	0.07066	0.03866	0.01397	0.02243	0.006666
0.11	0.1152	0.0734	0.03891	0.01408	0.02267	0.006854
0.1156	0.1122	0.07477	0.03899	0.01426	0.02276	0.006943
0.1211	0.1095	0.07557	0.03889	0.01444	0.02276	0.007026
0.1245	0.1063	0.07404	0.0385	0.01434	0.02258	0.007018
0.1279	0.1021	0.07128	0.03803	0.01407	0.02238	0.006983
0.1303	0.09979	0.0699	0.038	0.01387	0.02243	0.007003
0.1326	0.09871	0.06976	0.03842	0.01371	0.02277	0.00709
0.1349	0.09884	0.07095	0.03927	0.01369	0.02339	0.007247
0.1369	0.09996	0.07318	0.04018	0.01387	0.02401	0.007421
0.1388	0.1016	0.07615	0.04109	0.01419	0.0246	0.007609
0.1406	0.1033	0.0794	0.04185	0.01459	0.0251	0.00779
0.1422	0.1048	0.08261	0.04241	0.01504	0.02545	0.007951
0.1437	0.1059	0.08564	0.04274	0.01551	0.02565	0.008084
0.1459	0.1063	0.08941	0.0426	0.0162	0.02556	0.008201
0.1489	0.1039	0.09213	0.04137	0.01681	0.02483	0.008189
0.1514	0.0995	0.09147	0.03979	0.01691	0.0239	0.008055
0.1535	0.09486	0.08927	0.0383	0.01682	0.02305	0.007903
0.1552	0.0913	0.08696	0.03722	0.01669	0.02246	0.007798
0.1569	0.08842	0.08486	0.0364	0.01654	0.02205	0.007726
0.1581	0.08638	0.08322	0.03589	0.01638	0.02183	0.007684
0.16	0.08411	0.08124	0.03547	0.01612	0.02172	0.007652
0.1624	0.08173	0.07891	0.03523	0.01578	0.02178	0.007649
0.166	0.07954	0.0762	0.0355	0.01543	0.02228	0.007742
0.171	0.07935	0.07576	0.03695	0.01542	0.02367	0.008071
0.1734	0.07951	0.07661	0.03759	0.01562	0.02426	0.008208
0.1758	0.0795	0.07772	0.03804	0.01589	0.02469	0.008306
0.1786	0.07916	0.07914	0.03828	0.01626	0.02497	0.00837
0.1824	0.07815	0.08108	0.0382	0.01676	0.02502	0.008375
0.1884	0.07554	0.08349	0.03731	0.0174	0.02451	0.008217
0.1968	0.07159	0.08536	0.03551	0.01788	0.02332	0.007829
0.203	0.06903	0.08617	0.03435	0.01796	0.0225	0.007536
0.2092	0.06678	0.08675	0.03344	0.01791	0.02184	0.007278
0.2126	0.06563	0.08701	0.03309	0.01783	0.02157	0.007154
0.2259	0.06138	0.08768	0.03227	0.01756	0.02092	0.006848
0.2347	0.05967	0.08767	0.03201	0.0174	0.02069	0.006713
0.2495	0.05799	0.08766	0.03188	0.01719	0.02051	0.006577
0.2729	0.05585	0.08787	0.03201	0.01692	0.02049	0.006477
0.2881	0.05448	0.08806	0.03217	0.01683	0.02056	0.006472
0.3512	0.05105	0.08853	0.03268	0.01663	0.02081	0.006508
0.3841	0.05056	0.0885	0.03299	0.01664	0.02102	0.006596
0.4355	0.04952	0.08879	0.03343	0.01672	0.02136	0.006758
0.5358	0.04783	0.08957	0.03414	0.01708	0.02205	0.007146
0.6427	0.04815	0.08956	0.03514	0.01757	0.02298	0.007639
0.7798	0.05101	0.09081	0.03784	0.01879	0.02528	0.008778
0.865	0.05575	0.09385	0.04065	0.02022	0.02754	0.009891
0.9141	0.05934	0.09699	0.04282	0.02135	0.02928	0.01077
0.9705	0.06416	0.1027	0.04551	0.02308	0.03145	0.01199
1.008	0.06672	0.1071	0.04708	0.02438	0.03277	0.01286
1.042	0.06885	0.1115	0.0484	0.02557	0.0339	0.01366
1.068	0.07042	0.1148	0.04948	0.02671	0.03484	0.0144
1.096	0.07185	0.1187	0.05035	0.0281	0.03565	0.0152
1.126	0.07307	0.1232	0.05079	0.02953	0.03615	0.01596
1.156	0.07248	0.1265	0.05051	0.03082	0.03613	0.01657
1.187	0.07173	0.1292	0.05001	0.03222	0.03594	0.01716
1.218	0.07038	0.1319	0.04882	0.0333	0.03523	0.01753
1.274	0.06604	0.1336	0.0458	0.03477	0.03324	0.0178
1.329	0.06073	0.1335	0.0423	0.03545	0.03084	0.01769
1.379	0.05634	0.1325	0.03923	0.03602	0.02871	0.01756
1.426	0.05206	0.1308	0.03611	0.0361	0.02651	0.01721
1.449	0.05013	0.1299	0.03451	0.03589	0.02536	0.01693
1.476	0.04752	0.1284	0.03275	0.03556	0.02409	0.01658
1.498	0.04574	0.1273	0.03136	0.03517	0.02309	0.01627
1.524	0.04298	0.1253	0.02973	0.03483	0.02192	0.01597
1.54	0.04132	0.124	0.02885	0.03476	0.02129	0.01583
1.561	0.03943	0.1225	0.02778	0.03475	0.02052	0.01569
1.57	0.0388	0.122	0.02733	0.03473	0.02019	0.01562
1.587	0.03766	0.121	0.02647	0.03456	0.01957	0.01543
1.605	0.0364	0.1199	0.0255	0.03425	0.01886	0.01518
1.624	0.03512	0.1188	0.0245	0.03385	0.01813	0.0149
1.644	0.0336	0.1174	0.0235	0.03346	0.0174	0.01462
1.661	0.03236	0.1162	0.02264	0.03306	0.01676	0.01436
1.677	0.03129	0.1151	0.0221	0.03303	0.01637	0.01428
1.687	0.0307	0.1145	0.02168	0.03289	0.01606	0.01416
